accession,accession_no_version,description,package,target_short_name,target_scientific_name,target_taxid,species,taxid,segment,length,gc_content,seq_sha256,length_qc_flag,freq_A,freq_C,freq_G,freq_T,n_count,ambiguous_other_count,ambiguous_rate,valid_like_count,species_ncbi,taxid_ncbi,isolate,host,country,region,collection_date,nuc_completeness,segment_metadata,metadata_title,is_duplicate_seq_within_species_segment
OQ092243.1,OQ092243,"OQ092243.1 Andes orthohantavirus strain VARS/22-01 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6538,0.373661670235546,5b147c1b85ff109707fc9b737adf3757e4d78007b6c724d1324f8daa1f9bef5d,within_expected_range,0.3257877026613643,0.1579993881921076,0.2156622820434383,0.3005506271030896,0,0,0.0,6538,,1980456,VARS/22-01,,Brazil,,2022-12-09,COMPLETE,L,,False
MN258160.1,MN258160,"MN258160.1 Orthohantavirus andesense isolate NRC-5/18_06/01/2018 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6539,0.3617282059138961,80a49295710645db9f377993f2c1f8cca9910ba63cf63a999794d04bc7c4b762,within_expected_range,0.3343036617128849,0.1506051784893519,0.2111230274245442,0.3039681323732189,12,0,0.0018351429882244,6539,,1980456,NRC-5/18_06/01/2018,,Argentina,,,COMPLETE,L,,False
MN258173.1,MN258173,"MN258173.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_20_1/1/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6539,0.3687108120507723,b4b16eaa2015735aab0e5148e7ed641c0671e1b34e3a0a5fd614631a696e2999,within_expected_range,0.3321608808686343,0.1550695825049702,0.2136412295458021,0.2991283070805933,0,0,0.0,6539,,1980456,Epuyen/18-19_Patient_20_1/1/19,,Argentina,,,COMPLETE,L,,False
MN258182.1,MN258182,"MN258182.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_3_11/20/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6539,0.3687108120507723,47bc168adf96d1fc918903dbc32eb98350ab41828c563c8c4a868ee820d70759,within_expected_range,0.3320079522862823,0.1550695825049702,0.2136412295458021,0.2992812356629454,0,0,0.0,6539,,1980456,Epuyen/18-19_Patient_3_11/20/18,,Argentina,,,COMPLETE,L,,False
MN258158.1,MN258158,"MN258158.1 Orthohantavirus andesense isolate NRC-3/18_06/01/1997 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6540,0.3675840978593272,d351df533b2f74e43a57c426fa3bd59bb7ffce7ad4c2e62ce00da3165b7fd270,within_expected_range,0.3307339449541284,0.1529051987767584,0.2146788990825688,0.3016819571865443,0,0,0.0,6540,,1980456,NRC-3/18_06/01/1997,,Argentina,,,COMPLETE,L,,False
MN258165.1,MN258165,"MN258165.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_13_12/24/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6541,0.3687509555113897,4048ce58dd4e640c849a20dca8d7c250249bb6cd1b1e96d7f371d9f7f2cf2640,within_expected_range,0.331906436324721,0.1551750496865922,0.2135759058247974,0.2993426081638893,0,0,0.0,6541,,1980456,Epuyen/18-19_Patient_13_12/24/18,,Argentina,,,COMPLETE,L,,False
MN258157.1,MN258157,"MN258157.1 Orthohantavirus andesense isolate NRC-2/97_06/01/1996 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6542,0.367554255810374,07c4ea0c3f9bf239a02bc949b401656d851c1651f75dcb511f3a0e962e754a5a,within_expected_range,0.3323072187163306,0.1545328613206095,0.2130213944897645,0.3001385254732954,45,0,0.0068786303882604,6542,,1980456,NRC-2/97_06/01/1996,,Argentina,,,COMPLETE,L,,False
MN258164.1,MN258164,"MN258164.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_12_12/19/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6542,0.3688474472638336,1241d73967d00ed7d361d46b79bebe778170775e20f90b3669bd96a107aa943d,within_expected_range,0.3318557016202996,0.1553041883216142,0.2135432589422195,0.2992968511158667,0,0,0.0,6542,,1980456,Epuyen/18-19_Patient_12_12/19/18,,Argentina,,,COMPLETE,L,,False
MN258183.1,MN258183,"MN258183.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_4_11/27/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6542,0.3690003057169061,5b88fbfe30e6f91acba6c298a7e2d868b7915677718c90c4954346d9b8336d67,within_expected_range,0.3318557016202996,0.1554570467746866,0.2135432589422195,0.2991439926627942,0,0,0.0,6542,,1980456,Epuyen/18-19_Patient_4_11/27/18,,Argentina,,,COMPLETE,L,,False
MN258184.1,MN258184,"MN258184.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_5_11/26/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6542,0.3688073394495413,3cb3b0f7620818e004d27c3c58d8463ca60993116709417474486f2a498d5b79,within_expected_range,0.3319571865443425,0.1551987767584098,0.2136085626911315,0.2992354740061162,2,0,0.0003057169061449,6542,,1980456,Epuyen/18-19_Patient_5_11/26/18,,Argentina,,,COMPLETE,L,,False
MN258166.1,MN258166,"MN258166.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_14_12/26/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6543,0.3689439095216261,56c43474ee9d8390f4d3b1753d38eb6d3d9f5525feb8b4c0cae2dec461c194fb,within_expected_range,0.3318049824239645,0.155433287482806,0.2135106220388201,0.2992511080544093,0,0,0.0,6543,,1980456,Epuyen/18-19_Patient_14_12/26/18,,Argentina,,,COMPLETE,L,,False
MN258169.1,MN258169,"MN258169.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_17_12/31/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6543,0.3687910744306892,f81135f0f01640ef67ce93376c7577505f9cde2a0bcc55438b37473a325bd205,within_expected_range,0.3319578175149014,0.1552804523918691,0.2135106220388201,0.2992511080544093,0,0,0.0,6543,,1980456,Epuyen/18-19_Patient_17_12/31/18,,Argentina,,,COMPLETE,L,,False
MN258159.1,MN258159,"MN258159.1 Orthohantavirus andesense isolate NRC-4/18_06/01/2018 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6545,0.3681234718826406,efe56869b79b5b129951c7b247aa2b34e05a105943d2ca51aa5f999be051c761,within_expected_range,0.3302261613691931,0.1532701711491442,0.2148533007334963,0.3016503667481662,1,0,0.0001527883880825,6545,,1980456,NRC-4/18_06/01/2018,,Argentina,,,COMPLETE,L,,False
MN258156.1,MN258156,"MN258156.1 Orthohantavirus andesense isolate Epilink/96_2/6/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6546,0.3678582340360525,8641f10a8f4788a2f9d61270093145b46c217fe59f8f26938197509294cf3219,within_expected_range,0.3334860983806905,0.1556675832569508,0.2121906507791017,0.2986556675832569,0,0,0.0,6546,,1980456,Epilink/96_2/6/19,,Argentina,,,COMPLETE,L,,False
MN258174.1,MN258174,"MN258174.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_22_1/1/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6546,0.3690803544149099,9df0f99fb57cd10b05a3bfc273e549ac346952e5c4bdeaaf9245db59eb31c585,within_expected_range,0.3318056828597617,0.1555148182095936,0.2135655362053162,0.2991139627253284,0,0,0.0,6546,,1980456,Epuyen/18-19_Patient_22_1/1/19,,Argentina,,,COMPLETE,L,,False
MN258185.1,MN258185,"MN258185.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_6_11/25/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6546,0.3689275893675527,288cccf61e0c3e659918aa616b78adc38baf729c061a60b063b3d60bdb29dc1c,within_expected_range,0.3319584479071188,0.1553620531622364,0.2135655362053162,0.2991139627253284,0,0,0.0,6546,,1980456,Epuyen/18-19_Patient_6_11/25/18,,Argentina,,,COMPLETE,L,,False
MN258186.1,MN258186,"MN258186.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_7_12/7/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6546,0.3688875305623472,5213043939836c9220c9bd096e929c267a3989229c696e537e557db42e2ad5c0,within_expected_range,0.3319070904645477,0.1552567237163814,0.2136308068459657,0.2992053789731051,2,0,0.0003055300947143,6546,,1980456,Epuyen/18-19_Patient_7_12/7/18,,Argentina,,,COMPLETE,L,,False
MN258171.1,MN258171,"MN258171.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_19_1/2/19 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6547,0.3690239804490606,2cf47b5fee1c7dd0a4d818bb75fa3e1c15cd10ad341a8e97b2571a9168c674d0,within_expected_range,0.3319077440048877,0.1553383228959829,0.2136856575530777,0.2990682755460516,0,0,0.0,6547,,1980456,Epuyen/18-19_Patient_19_1/2/19,,Argentina,,,COMPLETE,L,,False
MN258161.1,MN258161,"MN258161.1 Orthohantavirus andesense isolate NRC-6/18_05/21/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6548,0.3688712387352986,9af8f110b1a3aec570ac25ef64fa368499ffdcd6bb9db8a59d9209846a6a2052,within_expected_range,0.3325187108599358,0.1554910646097449,0.2133801741255536,0.2986100504047655,1,0,0.0001527183872938,6548,,1980456,NRC-6/18_05/21/18,,Argentina,,,COMPLETE,L,,False
MN258188.1,MN258188,"MN258188.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_9_12/12/18 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6549,0.3689112841655214,c6c5de0bc8d28b1920950b4f792eca16971589048aa4697beb9556a4cded3232,within_expected_range,0.3318063826538402,0.1552908841044434,0.213620400061078,0.2992823331806382,0,0,0.0,6549,,1980456,Epuyen/18-19_Patient_9_12/12/18,,Argentina,,,COMPLETE,L,,False
PV808469.1,PV808469,"PV808469.1 Orthohantavirus andesense isolate 137 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6549,0.3661627729424339,8d53600a988bb438850969f0d94d725ee4b2adedf966e08bb22c622476157858,within_expected_range,0.331195602382043,0.152084287677508,0.2140784852649259,0.3026416246755229,0,0,0.0,6549,,1980456,137,,Chile: Region de los Rios,,2024-06-27,COMPLETE,L,,False
PV808478.1,PV808478,"PV808478.1 Orthohantavirus andesense isolate CHI-Hu13724_P2 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6555,0.3659801678108314,f566e620d95eeaedb424b306e4539e5b1d93cd7bf8bb49d7361312b4fcaa065a,within_expected_range,0.331350114416476,0.1520976353928299,0.2138825324180015,0.3026697177726926,0,0,0.0,6555,,1980456,CHI-Hu13724_P2,,Chile,,2024-07-30,COMPLETE,L,,False
PV796318.1,PV796318,"PV796318.1 Orthohantavirus andesense isolate 136 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6556,0.3660768761439902,b4b3d3d01dfdb4b9e7942a499fb75dcba52871a3d2ae303995036927ba189801,within_expected_range,0.3311470408785845,0.1520744356314826,0.2140024405125076,0.3027760829774252,0,0,0.0,6556,,1980456,136,,Chile: Region de Los Rios,,2024-06-27,COMPLETE,L,,False
PP003836.1,PP003836,"PP003836.1 Orthohantavirus andesense isolate BA18-RR1620 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6558,0.3801463860933211,bede2a29f6366158282f0df08b844521d1ecb56ececb82f98fe6466d5a08466c,within_expected_range,0.3260140286672766,0.161939615736505,0.2182067703568161,0.2938395852394022,0,0,0.0,6558,,1980456,BA18-RR1620,,Argentina: Buenos Aires,,2018,COMPLETE,L,,False
PV808472.1,PV808472,"PV808472.1 Orthohantavirus andesense isolate CHI-7913 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6561,0.3656454808718183,9287086ea78352f935dd5f1091e51aba953a7a496197df1107a1b5afcdfad96c,within_expected_range,0.3331809175430574,0.153025453436976,0.2126200274348422,0.3011736015851242,0,0,0.0,6561,,1980456,CHI-7913,,Chile,,1999,COMPLETE,L,,False
PZ385161.1,PZ385161,"PZ385161.1 Orthohantavirus andesense isolate ANDV/Switzerland/Hu-3337/2026 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6561,0.3669207317073171,ad2fdb9ade06732043a8db60eb5d50ccf374504bf5ac0f113447d94e0dc4ca2b,within_expected_range,0.3317073170731707,0.1535060975609756,0.2134146341463414,0.3013719512195122,0,1,0.0001524157902758,6560,,1980456,ANDV/Switzerland/Hu-3337/2026,,Switzerland,,2026-05-04,COMPLETE,L,,False
AF291704.5,AF291704,"AF291704.5 Andes virus strain Chile-9717869 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6562,0.3675708625419079,2557e8278f7dae8fa99827917a90a79f724880a61993c97bba3a08b090317712,within_expected_range,0.3328253581225236,0.155440414507772,0.2121304480341359,0.2996037793355684,0,0,0.0,6562,,1980456,Chile-9717869,,,,,COMPLETE,L,,False
MN850094.1,MN850094,"MN850094.1 Orthohantavirus andesense strain AREB14/P2 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6562,0.3675708625419079,b138ce481fc1ccf181e90261f36979601d54d52b331053124e6a1daac7b1ecd7,within_expected_range,0.3331301432490094,0.1552880219445291,0.2122828405973788,0.2992989942090825,0,0,0.0,6562,,1980456,AREB14/P2,,,,,COMPLETE,L,,False
PV808475.1,PV808475,"PV808475.1 Orthohantavirus andesense isolate CHI-Hu13724_P1 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6562,0.3658945443462359,b4f078bc1ae94220163ad1116181e4ec6df5dec984b463e8335728e40e78497d,within_expected_range,0.3313014324900944,0.151935385553185,0.2139591587930508,0.3028040231636696,0,0,0.0,6562,,1980456,CHI-Hu13724_P1,,Chile,,2024-07-24,COMPLETE,L,,False
PP003837.1,PP003837,"PP003837.1 Orthohantavirus andesense isolate BA18-LD1633 segment L, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,L,6587,0.3810535904053438,cc03e2c07678e417e6c65ed3c135b171fc356817279dabdfadd069a073f3cffd,within_expected_range,0.3224533171398208,0.1604675876726886,0.2205860027326552,0.2964930924548353,0,0,0.0,6587,,1980456,BA18-LD1633,,Argentina: Buenos Aires,,2018,COMPLETE,L,,False
MN258200.1,MN258200,"MN258200.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_15_12/26/18 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3633,0.4035232590145885,fb6637317c2233b9b6a0190adf928cd4c735121253cb71a67aaf5e356d2dd102,within_expected_range,0.3118634737131847,0.192953481970823,0.2105697770437654,0.2846132672722268,0,0,0.0,3633,,1980456,Epuyen/18-19_Patient_15_12/26/18,,Argentina,,,COMPLETE,M,,False
MN258195.1,MN258195,"MN258195.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_10_12/10/18 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3639,0.4042319318494092,dbd7ae9fab0454e67ea84eb464c35ff095bd4a299f91cf720caa8e6e1789dafd,within_expected_range,0.3116240725474031,0.1934597416872767,0.2107721901621324,0.2841439956031877,0,0,0.0,3639,,1980456,Epuyen/18-19_Patient_10_12/10/18,,Argentina,,,COMPLETE,M,,False
MN850088.1,MN850088,"MN850088.1 Orthohantavirus andesense strain AREB14/P1 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3639,0.4006595218466611,83bb6b7b48f2225d0151811422e54ed58850b422573111307a0391ee462b935b,within_expected_range,0.3138224787029404,0.1912613355317395,0.2093981863149216,0.2855179994503984,0,0,0.0,3639,,1980456,AREB14/P1,,,,,COMPLETE,M,,False
MN850090.1,MN850090,"MN850090.1 Orthohantavirus andesense strain AREB14/P3 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3643,0.4013175953884161,17d0c28d01aa28433c41a37b0c4ea01b8aa4a2343b0ab73f34edb8876a486c84,within_expected_range,0.3137524018665935,0.1916003293988471,0.209717265989569,0.2849300027449904,0,0,0.0,3643,,1980456,AREB14/P3,,,,,COMPLETE,M,,False
MN850091.1,MN850091,"MN850091.1 Orthohantavirus andesense strain ARCH14/NRC1 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3643,0.3991216030743892,60e09cb5e51722f9af70980aa1d6399e4f4837ed15ad7227088adeaa3feed408,within_expected_range,0.3090859181992863,0.1855613505352731,0.2135602525391161,0.2917924787263244,0,0,0.0,3643,,1980456,ARCH14/NRC1,,,,,COMPLETE,M,,False
MN258196.1,MN258196,"MN258196.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_11_12/15/18 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3645,0.4041152263374485,47bf9965ef19679deefd2d137ccd813dfd43e1f19b1a5bba95f9217688cb5ec2,within_expected_range,0.3113854595336077,0.1934156378600823,0.2106995884773662,0.2844993141289437,0,0,0.0,3645,,1980456,Epuyen/18-19_Patient_11_12/15/18,,Argentina,,,COMPLETE,M,,False
MN258190.1,MN258190,"MN258190.1 Orthohantavirus andesense isolate NRC-2/97_06/01/1996 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3646,0.4009873834339001,8c28cff99804bbbfdc6c68517db41ba95f958154dabc6c18a86f87656be2ce8e,within_expected_range,0.3107515085024684,0.1876028524410312,0.2133845309928689,0.2882611080636313,0,0,0.0,3646,,1980456,NRC-2/97_06/01/1996,,Argentina,,,COMPLETE,M,,False
MN258208.1,MN258208,"MN258208.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_23_1/7/19 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3646,0.4042786615469007,f5ef6321dfd6294b9bd17c77c1b3399c3aaa94e7352ca03f10f165ce14453170,within_expected_range,0.3115743280307186,0.1933625891387822,0.2109160724081185,0.2841470104223806,0,0,0.0,3646,,1980456,Epuyen/18-19_Patient_23_1/7/19,,Argentina,,,COMPLETE,M,,False
MN850092.1,MN850092,"MN850092.1 Orthohantavirus andesense strain ARLA17/NRC2 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3646,0.4031815688425672,e0d392a550dd7276952295484d5f3f500f0a1e795894e326534ba7e40307eb27,within_expected_range,0.3107515085024684,0.1914426769061985,0.2117388919363686,0.2860669226549643,0,0,0.0,3646,,1980456,ARLA17/NRC2,,,,,COMPLETE,M,,False
MN258212.1,MN258212,"MN258212.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_27_1/8/19 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3647,0.4041678091582122,c2f719a51448f157d69750ed84abdbc4a43c83347d5f0ba64277846c271484c1,within_expected_range,0.3117630929531121,0.1933095695091856,0.2108582396490265,0.2840690978886756,0,0,0.0,3647,,1980456,Epuyen/18-19_Patient_27_1/8/19,,Argentina,,,COMPLETE,M,,False
MN258213.1,MN258213,"MN258213.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_28_1/6/19 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3647,0.4044420071291472,09766b8cd4afa4a825e7e156c8da69001916459ea9012acd520fe85a0fab96c7,within_expected_range,0.3114888949821771,0.1933095695091856,0.2111324376199616,0.2840690978886756,0,0,0.0,3647,,1980456,Epuyen/18-19_Patient_28_1/6/19,,Argentina,,,COMPLETE,M,,False
MN258218.1,MN258218,"MN258218.1 Orthohantavirus andesense isolate Epuyen/18-19_Patient_5_11/26/18 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3649,0.4039462866538778,74b2237e8103fbe346b25265196000125e06c47ae88127765cc93052a2c044b8,within_expected_range,0.3110441216771718,0.1932036174294327,0.210742669224445,0.2850095916689504,0,0,0.0,3649,,1980456,Epuyen/18-19_Patient_5_11/26/18,,Argentina,,,COMPLETE,M,,False
PZ385162.1,PZ385162,"PZ385162.1 Orthohantavirus andesense isolate ANDV/Switzerland/Hu-3337/2026 segment M, complete sequence",andes_1980456,andes,Orthohantavirus andesense,1980456,Orthohantavirus andesense,1980456,M,3649,0.4028500959166895,7091ac454e4ad84edb3b16f0baf41b18d1a96eb5103a244b54572a511333fc0c,within_expected_range,0.3088517402027952,0.1890929021649767,0.2137571937517128,0.2882981638805152,0,0,0.0,3649,,1980456,ANDV/Switzerland/Hu-3337/2026,,Switzerland,,2026-05-04,COMPLETE,M,,False
